,jurisdiction,week,first_dose,second_dose
136,District of Columbia,2021-02-22,7200,7200
137,Federal Entities,2021-02-22,163500,163500
138,Florida,2021-02-22,208000,208000
139,Georgia,2021-02-22,98600,98600
140,Guam,2021-02-22,0,0
141,Hawaii,2021-02-22,14200,14200
142,Idaho,2021-02-22,15800,15800
143,Illinois,2021-02-22,98700,98700
144,Indiana,2021-02-22,64100,64100
145,Iowa,2021-02-22,30400,30400
146,Kansas,2021-02-22,27800,27800
147,Kentucky,2021-02-22,43400,43400
148,Louisiana,2021-02-22,45000,45000
149,Maine,2021-02-22,13700,13700
150,Mariana Islands,2021-02-22,0,0
151,Marshall Islands,2021-02-22,0,0
152,Maryland,2021-02-22,59000,59000
153,Massachusetts,2021-02-22,69000,69000
154,Michigan,2021-02-22,98200,98200
155,Micronesia,2021-02-22,0,0
156,Minnesota,2021-02-22,53800,53800
157,Mississippi,2021-02-22,28700,28700
158,Missouri,2021-02-22,59500,59500
159,Montana,2021-02-22,10400,10400
160,Nebraska,2021-02-22,18400,18400
161,Nevada,2021-02-22,28500,28500
162,New Hampshire,2021-02-22,13700,13700
163,New Jersey,2021-02-22,87400,87400
164,New Mexico,2021-02-22,20500,20500
165,New York,2021-02-22,111300,111300
166,New York City,2021-02-22,84500,84500
167,North Carolina,2021-02-22,99500,99500
168,North Dakota,2021-02-22,7500,7500
169,Ohio,2021-02-22,114100,114100
170,Oklahoma,2021-02-22,37500,37500
171,Oregon,2021-02-22,40800,40800
172,Palau,2021-02-22,0,0
173,Pennsylvania,2021-02-22,112400,112400
174,Philadelphia,2021-02-22,15600,15600
175,Puerto Rico,2021-02-22,34200,34200
176,Rhode Island,2021-02-22,10800,10800
177,South Carolina,2021-02-22,48800,48800
178,South Dakota,2021-02-22,8300,8300
179,Tennessee,2021-02-22,65200,65200
180,Texas,2021-02-22,260400,260400
181,U.S. Virgin Islands,2021-02-22,1100,1100
182,Utah,2021-02-22,27100,27100
183,Vermont,2021-02-22,6500,6500
184,Virginia,2021-02-22,82800,82800
185,Washington,2021-02-22,72400,72400
186,West Virginia,2021-02-22,18500,18500
187,Wisconsin,2021-02-22,57100,57100
188,Wyoming,2021-02-22,5700,5700
189,Alabama,2021-02-15,47700,47700
190,Alaska,2021-02-15,0,0
191,American Samoa,2021-02-15,0,0
192,Arizona,2021-02-15,67600,67600
193,Arkansas,2021-02-15,28900,28900
194,California,2021-02-15,380300,380300
195,Chicago,2021-02-15,26500,26500
196,Colorado,2021-02-15,54100,54100
197,Connecticut,2021-02-15,35800,35800
198,Delaware,2021-02-15,9500,9500
199,District of Columbia,2021-02-15,7200,7200
200,Federal Entities,2021-02-15,163500,163500
201,Florida,2021-02-15,208000,208000
202,Georgia,2021-02-15,98600,98600
203,Guam,2021-02-15,0,0
204,Hawaii,2021-02-15,14200,14200
205,Idaho,2021-02-15,15800,15800
206,Illinois,2021-02-15,98700,98700
207,Indiana,2021-02-15,64100,64100
208,Iowa,2021-02-15,30400,30400
209,Kansas,2021-02-15,27800,27800
210,Kentucky,2021-02-15,43400,43400
211,Louisiana,2021-02-15,45000,45000
212,Maine,2021-02-15,13700,13700
213,Mariana Islands,2021-02-15,0,0
214,Marshall Islands,2021-02-15,0,0
215,Maryland,2021-02-15,59000,59000
216,Massachusetts,2021-02-15,69000,69000
217,Michigan,2021-02-15,98200,98200
218,Micronesia,2021-02-15,0,0
219,Minnesota,2021-02-15,53800,53800
220,Mississippi,2021-02-15,28700,28700
221,Missouri,2021-02-15,59500,59500
222,Montana,2021-02-15,10400,10400
223,Nebraska,2021-02-15,18400,18400
224,Nevada,2021-02-15,28500,28500
225,New Hampshire,2021-02-15,13700,13700
226,New Jersey,2021-02-15,87400,87400
227,New Mexico,2021-02-15,20500,20500
228,New York,2021-02-15,111300,111300
229,New York City,2021-02-15,84500,84500
230,North Carolina,2021-02-15,99500,99500
231,North Dakota,2021-02-15,7500,7500
232,Ohio,2021-02-15,114100,114100
233,Oklahoma,2021-02-15,37500,37500
234,Oregon,2021-02-15,40800,40800
235,Palau,2021-02-15,0,0
236,Pennsylvania,2021-02-15,112400,112400
237,Philadelphia,2021-02-15,15600,15600
238,Puerto Rico,2021-02-15,34200,34200
239,Rhode Island,2021-02-15,10800,10800
240,South Carolina,2021-02-15,48800,48800
241,South Dakota,2021-02-15,8300,8300
242,Tennessee,2021-02-15,65200,65200
243,Texas,2021-02-15,260400,260400
244,U.S. Virgin Islands,2021-02-15,1100,1100
245,Utah,2021-02-15,27100,27100
246,Vermont,2021-02-15,6500,6500
247,Virginia,2021-02-15,82800,82800
248,Washington,2021-02-15,72400,72400
249,West Virginia,2021-02-15,18500,18500
250,Wisconsin,2021-02-15,57100,57100
251,Wyoming,2021-02-15,5700,5700
252,Alabama,2021-02-08,44100,44100
253,Alaska,2021-02-08,0,0
254,American Samoa,2021-02-08,0,0
255,Arizona,2021-02-08,62500,62500
256,Arkansas,2021-02-08,26800,26800
257,California,2021-02-08,351900,351900
258,Chicago,2021-02-08,24500,24500
259,Colorado,2021-02-08,50000,50000
260,Connecticut,2021-02-08,33100,33100
