,jurisdiction,week,first_dose,second_dose
680,Rhode Island,2020-12-28,6600,6600
681,South Carolina,2020-12-28,29900,29900
682,South Dakota,2020-12-28,5100,5100
683,Tennessee,2020-12-28,39800,39800
684,Texas,2020-12-28,159100,159100
685,U.S. Virgin Islands,2020-12-28,700,700
686,Utah,2020-12-28,16600,16600
687,Vermont,2020-12-28,4000,4000
688,Virginia,2020-12-28,50600,50600
689,Washington,2020-12-28,44300,44300
690,West Virginia,2020-12-28,11300,11300
691,Wisconsin,2020-12-28,34900,34900
692,Wyoming,2020-12-28,3500,3500
693,Alabama,2020-12-21,84300,84300
694,Alaska,2020-12-21,26800,26800
695,American Samoa,2020-12-21,2400,0
696,Arizona,2020-12-21,119400,119400
697,Arkansas,2020-12-21,51100,51100
698,California,2020-12-21,672600,672600
699,Chicago,2020-12-21,46800,46800
700,Colorado,2020-12-21,95600,95600
701,Connecticut,2020-12-21,63300,63300
702,Delaware,2020-12-21,16700,16700
703,District of Columbia,2020-12-21,12600,12600
704,Federal Entities,2020-12-21,298200,289200
705,Florida,2020-12-21,367900,367900
706,Georgia,2020-12-21,174400,174400
707,Guam,2020-12-21,7600,0
708,Hawaii,2020-12-21,25000,25000
709,Idaho,2020-12-21,28000,28000
710,Illinois,2020-12-21,174600,174600
711,Indiana,2020-12-21,113300,113300
712,Iowa,2020-12-21,53800,53800
713,Kansas,2020-12-21,49100,49100
714,Kentucky,2020-12-21,76700,76700
715,Louisiana,2020-12-21,79500,79500
716,Maine,2020-12-21,24200,24200
717,Mariana Islands,2020-12-21,2600,0
718,Marshall Islands,2020-12-21,7200,0
719,Maryland,2020-12-21,104300,104300
720,Massachusetts,2020-12-21,121900,121900
721,Michigan,2020-12-21,173600,173600
722,Micronesia,2020-12-21,9800,0
723,Minnesota,2020-12-21,94900,94900
724,Mississippi,2020-12-21,50800,50800
725,Missouri,2020-12-21,105300,105300
726,Montana,2020-12-21,18300,18300
727,Nebraska,2020-12-21,32400,32400
728,Nevada,2020-12-21,50300,50300
729,New Hampshire,2020-12-21,24200,24200
730,New Jersey,2020-12-21,154500,154500
731,New Mexico,2020-12-21,36100,36100
732,New York,2020-12-21,196800,196800
733,New York City,2020-12-21,149400,149400
734,North Carolina,2020-12-21,175900,175900
735,North Dakota,2020-12-21,13200,13200
736,Ohio,2020-12-21,201900,201900
737,Oklahoma,2020-12-21,66200,66200
738,Oregon,2020-12-21,72100,72100
739,Palau,2020-12-21,2800,0
740,Pennsylvania,2020-12-21,198800,198800
741,Philadelphia,2020-12-21,27600,27600
742,Puerto Rico,2020-12-21,60400,60400
743,Rhode Island,2020-12-21,19000,19000
744,South Carolina,2020-12-21,86400,86400
745,South Dakota,2020-12-21,14600,14600
746,Tennessee,2020-12-21,115200,115200
747,Texas,2020-12-21,460500,460500
748,U.S. Virgin Islands,2020-12-21,1900,1900
749,Utah,2020-12-21,47800,47800
750,Vermont,2020-12-21,11400,11400
751,Virginia,2020-12-21,146400,146400
752,Washington,2020-12-21,128000,128000
753,West Virginia,2020-12-21,32600,32600
754,Wisconsin,2020-12-21,101000,101000
755,Wyoming,2020-12-21,10000,10000
