,jurisdiction,week,first_dose,second_dose
681,South Carolina,2021-01-04,30225,30225
682,South Dakota,2021-01-04,5850,5850
683,Tennessee,2021-01-04,39975,39975
684,Texas,2021-01-04,158925,158925
685,U.S. Virgin Islands,2021-01-04,975,975
686,Utah,2021-01-04,16575,16575
687,Vermont,2021-01-04,3900,3900
688,Virginia,2021-01-04,50700,50700
689,Washington,2021-01-04,44850,44850
690,West Virginia,2021-01-04,11700,11700
691,Wisconsin,2021-01-04,35100,35100
692,Wyoming,2021-01-04,3900,3900
693,Alabama,2020-12-28,38025,38025
694,Alaska,2020-12-28,0,0
695,American Samoa,2020-12-28,0,0
696,Arizona,2020-12-28,53625,53625
697,Arkansas,2020-12-28,23400,23400
698,California,2020-12-28,297375,297375
699,Chicago,2020-12-28,21450,21450
700,Colorado,2020-12-28,42900,42900
701,Connecticut,2020-12-28,28275,28275
702,Delaware,2020-12-28,7800,7800
703,District of Columbia,2020-12-28,5850,5850
704,Federal Entities,2020-12-28,128700,128700
705,Florida,2020-12-28,162825,162825
706,Georgia,2020-12-28,77025,77025
707,Guam,2020-12-28,0,0
708,Hawaii,2020-12-28,11700,11700
709,Idaho,2020-12-28,12675,12675
710,Illinois,2020-12-28,78000,78000
711,Indiana,2020-12-28,50700,50700
712,Iowa,2020-12-28,24375,24375
713,Kansas,2020-12-28,22425,22425
714,Kentucky,2020-12-28,34125,34125
715,Louisiana,2020-12-28,36075,36075
716,Maine,2020-12-28,10725,10725
717,Mariana Islands,2020-12-28,0,0
718,Marshall Islands,2020-12-28,0,0
719,Maryland,2020-12-28,46800,46800
720,Massachusetts,2020-12-28,54600,54600
721,Michigan,2020-12-28,77025,77025
722,Micronesia,2020-12-28,0,0
723,Minnesota,2020-12-28,42900,42900
724,Mississippi,2020-12-28,22425,22425
725,Missouri,2020-12-28,46800,46800
726,Montana,2020-12-28,8775,8775
727,Nebraska,2020-12-28,14625,14625
728,Nevada,2020-12-28,22425,22425
729,New Hampshire,2020-12-28,10725,10725
730,New Jersey,2020-12-28,68250,68250
731,New Mexico,2020-12-28,16575,16575
732,New York,2020-12-28,87750,87750
733,New York City,2020-12-28,66300,66300
734,North Carolina,2020-12-28,78000,78000
735,North Dakota,2020-12-28,5850,5850
736,Ohio,2020-12-28,89700,89700
737,Oklahoma,2020-12-28,29250,29250
738,Oregon,2020-12-28,32175,32175
739,Palau,2020-12-28,0,0
740,Pennsylvania,2020-12-28,88725,88725
741,Philadelphia,2020-12-28,12675,12675
742,Puerto Rico,2020-12-28,27300,27300
743,Rhode Island,2020-12-28,8775,8775
744,South Carolina,2020-12-28,39000,39000
745,South Dakota,2020-12-28,6825,6825
746,Tennessee,2020-12-28,51675,51675
747,Texas,2020-12-28,203775,203775
748,U.S. Virgin Islands,2020-12-28,975,975
749,Utah,2020-12-28,21450,21450
750,Vermont,2020-12-28,5850,5850
751,Virginia,2020-12-28,65325,65325
752,Washington,2020-12-28,57525,57525
753,West Virginia,2020-12-28,14625,14625
754,Wisconsin,2020-12-28,44850,44850
755,Wyoming,2020-12-28,4875,4875
756,Alabama,2020-12-21,29250,29250
757,Alaska,2020-12-21,0,0
758,American Samoa,2020-12-21,0,0
759,Arizona,2020-12-21,41925,41925
760,Arkansas,2020-12-21,18525,18525
761,California,2020-12-21,233025,233025
762,Chicago,2020-12-21,16575,16575
763,Colorado,2020-12-21,33150,33150
764,Connecticut,2020-12-21,22425,22425
765,Delaware,2020-12-21,5850,5850
766,District of Columbia,2020-12-21,4875,4875
767,Federal Entities,2020-12-21,102375,102375
768,Florida,2020-12-21,127725,127725
769,Georgia,2020-12-21,60450,60450
770,Guam,2020-12-21,0,0
771,Hawaii,2020-12-21,8775,8775
772,Idaho,2020-12-21,9750,9750
773,Illinois,2020-12-21,60450,60450
774,Indiana,2020-12-21,39975,39975
775,Iowa,2020-12-21,19500,19500
776,Kansas,2020-12-21,17550,17550
777,Kentucky,2020-12-21,27300,27300
778,Louisiana,2020-12-21,28275,28275
779,Maine,2020-12-21,8775,8775
780,Mariana Islands,2020-12-21,0,0
781,Marshall Islands,2020-12-21,0,0
782,Maryland,2020-12-21,36075,36075
783,Massachusetts,2020-12-21,42900,42900
784,Michigan,2020-12-21,60450,60450
785,Micronesia,2020-12-21,0,0
786,Minnesota,2020-12-21,33150,33150
787,Mississippi,2020-12-21,17550,17550
788,Missouri,2020-12-21,37050,37050
789,Montana,2020-12-21,6825,6825
790,Nebraska,2020-12-21,11700,11700
791,Nevada,2020-12-21,17550,17550
792,New Hampshire,2020-12-21,8775,8775
793,New Jersey,2020-12-21,53625,53625
794,New Mexico,2020-12-21,12675,12675
795,New York,2020-12-21,68250,68250
796,New York City,2020-12-21,51675,51675
797,North Carolina,2020-12-21,61425,61425
798,North Dakota,2020-12-21,4875,4875
799,Ohio,2020-12-21,70200,70200
800,Oklahoma,2020-12-21,23400,23400
801,Oregon,2020-12-21,25350,25350
802,Palau,2020-12-21,0,0
803,Pennsylvania,2020-12-21,69225,69225
804,Philadelphia,2020-12-21,9750,9750
805,Puerto Rico,2020-12-21,21450,21450
806,Rhode Island,2020-12-21,6825,6825
807,South Carolina,2020-12-21,30225,30225
808,South Dakota,2020-12-21,5850,5850
809,Tennessee,2020-12-21,39975,39975
810,Texas,2020-12-21,159900,159900
811,U.S. Virgin Islands,2020-12-21,975,975
812,Utah,2020-12-21,16575,16575
813,Vermont,2020-12-21,4875,4875
814,Virginia,2020-12-21,50700,50700
815,Washington,2020-12-21,44850,44850
816,West Virginia,2020-12-21,11700,11700
817,Wisconsin,2020-12-21,35100,35100
818,Wyoming,2020-12-21,3900,3900
819,Alabama,2020-12-14,40950,40950
820,Alaska,2020-12-14,35100,35100
821,American Samoa,2020-12-14,5850,0
822,Arizona,2020-12-14,58500,58500
823,Arkansas,2020-12-14,25350,25350
824,California,2020-12-14,327600,327600
825,Chicago,2020-12-14,23400,23400
826,Colorado,2020-12-14,46800,46800
827,Connecticut,2020-12-14,31200,31200
828,Delaware,2020-12-14,8775,8775
829,District of Columbia,2020-12-14,6825,6825
830,Federal Entities,2020-12-14,156000,142350
831,Florida,2020-12-14,179400,179400
832,Georgia,2020-12-14,84825,84825
833,Guam,2020-12-14,11700,0
834,Hawaii,2020-12-14,12675,12675
835,Idaho,2020-12-14,13650,13650
836,Illinois,2020-12-14,85800,85800
837,Indiana,2020-12-14,55575,55575
838,Iowa,2020-12-14,26325,26325
839,Kansas,2020-12-14,24375,24375
840,Kentucky,2020-12-14,38025,38025
841,Louisiana,2020-12-14,39000,39000
842,Maine,2020-12-14,12675,12675
843,Mariana Islands,2020-12-14,5850,0
844,Marshall Islands,2020-12-14,0,0
845,Maryland,2020-12-14,50700,50700
846,Massachusetts,2020-12-14,59475,59475
847,Michigan,2020-12-14,84825,84825
848,Micronesia,2020-12-14,0,0
849,Minnesota,2020-12-14,46800,46800
850,Mississippi,2020-12-14,25350,25350
851,Missouri,2020-12-14,51675,51675
852,Montana,2020-12-14,9750,9750
853,Nebraska,2020-12-14,16575,16575
854,Nevada,2020-12-14,25350,25350
855,New Hampshire,2020-12-14,12675,12675
856,New Jersey,2020-12-14,76050,76050
857,New Mexico,2020-12-14,17550,17550
858,New York,2020-12-14,96525,96525
859,New York City,2020-12-14,73125,73125
860,North Carolina,2020-12-14,85800,85800
861,North Dakota,2020-12-14,6825,6825
862,Ohio,2020-12-14,98475,98475
863,Oklahoma,2020-12-14,33150,33150
864,Oregon,2020-12-14,35100,35100
865,Palau,2020-12-14,0,0
866,Pennsylvania,2020-12-14,97500,97500
867,Philadelphia,2020-12-14,13650,13650
868,Puerto Rico,2020-12-14,30225,30225
869,Rhode Island,2020-12-14,9750,9750
870,South Carolina,2020-12-14,42900,42900
871,South Dakota,2020-12-14,7800,7800
872,Tennessee,2020-12-14,56550,56550
873,Texas,2020-12-14,224250,224250
874,U.S. Virgin Islands,2020-12-14,975,975
875,Utah,2020-12-14,23400,23400
876,Vermont,2020-12-14,5850,5850
877,Virginia,2020-12-14,72150,72150
878,Washington,2020-12-14,62400,62400
879,West Virginia,2020-12-14,16575,16575
880,Wisconsin,2020-12-14,49725,49725
881,Wyoming,2020-12-14,4875,4875
