,jurisdiction,week,first_dose,second_dose
136,District of Columbia,2021-03-01,9360,9360
137,Federal Entities,2021-03-01,209430,190710
138,Florida,2021-03-01,239850,239850
139,Georgia,2021-03-01,114660,114660
140,Guam,2021-03-01,21060,0
141,Hawaii,2021-03-01,16380,16380
142,Idaho,2021-03-01,18720,18720
143,Illinois,2021-03-01,114660,114660
144,Indiana,2021-03-01,74880,74880
145,Iowa,2021-03-01,35100,35100
146,Kansas,2021-03-01,32760,32760
147,Kentucky,2021-03-01,50310,50310
148,Louisiana,2021-03-01,52650,52650
149,Maine,2021-03-01,16380,16380
150,Mariana Islands,2021-03-01,9360,0
151,Marshall Islands,2021-03-01,0,0
152,Maryland,2021-03-01,69030,69030
153,Massachusetts,2021-03-01,79560,79560
154,Michigan,2021-03-01,113490,113490
155,Micronesia,2021-03-01,0,0
156,Minnesota,2021-03-01,62010,62010
157,Mississippi,2021-03-01,33930,33930
158,Missouri,2021-03-01,69030,69030
159,Montana,2021-03-01,12870,12870
160,Nebraska,2021-03-01,22230,22230
161,Nevada,2021-03-01,33930,33930
162,New Hampshire,2021-03-01,16380,16380
163,New Jersey,2021-03-01,101790,101790
164,New Mexico,2021-03-01,24570,24570
165,New York,2021-03-01,128700,128700
166,New York City,2021-03-01,98280,98280
167,North Carolina,2021-03-01,115830,115830
168,North Dakota,2021-03-01,9360,9360
169,Ohio,2021-03-01,132210,132210
170,Oklahoma,2021-03-01,43290,43290
171,Oregon,2021-03-01,47970,47970
172,Palau,2021-03-01,0,0
173,Pennsylvania,2021-03-01,129870,129870
174,Philadelphia,2021-03-01,18720,18720
175,Puerto Rico,2021-03-01,39780,39780
176,Rhode Island,2021-03-01,12870,12870
177,South Carolina,2021-03-01,57330,57330
178,South Dakota,2021-03-01,10530,10530
179,Tennessee,2021-03-01,76050,76050
180,Texas,2021-03-01,300690,300690
181,U.S. Virgin Islands,2021-03-01,2340,2340
182,Utah,2021-03-01,31590,31590
183,Vermont,2021-03-01,8190,8190
184,Virginia,2021-03-01,95940,95940
185,Washington,2021-03-01,84240,84240
186,West Virginia,2021-03-01,22230,22230
187,Wisconsin,2021-03-01,66690,66690
188,Wyoming,2021-03-01,7020,7020
189,Alabama,2021-02-22,47970,47970
190,Alaska,2021-02-22,0,0
191,American Samoa,2021-02-22,0,0
192,Arizona,2021-02-22,69030,69030
193,Arkansas,2021-02-22,29250,29250
194,California,2021-02-22,382590,382590
195,Chicago,2021-02-22,26910,26910
196,Colorado,2021-02-22,54990,54990
197,Connecticut,2021-02-22,36270,36270
198,Delaware,2021-02-22,10530,10530
199,District of Columbia,2021-02-22,8190,8190
200,Federal Entities,2021-02-22,166140,166140
201,Florida,2021-02-22,209430,209430
202,Georgia,2021-02-22,99450,99450
203,Guam,2021-02-22,0,0
204,Hawaii,2021-02-22,15210,15210
205,Idaho,2021-02-22,16380,16380
206,Illinois,2021-02-22,99450,99450
207,Indiana,2021-02-22,64350,64350
208,Iowa,2021-02-22,31590,31590
209,Kansas,2021-02-22,28080,28080
210,Kentucky,2021-02-22,44460,44460
211,Louisiana,2021-02-22,45630,45630
212,Maine,2021-02-22,14040,14040
213,Mariana Islands,2021-02-22,0,0
214,Marshall Islands,2021-02-22,0,0
215,Maryland,2021-02-22,59670,59670
216,Massachusetts,2021-02-22,70200,70200
217,Michigan,2021-02-22,99450,99450
218,Micronesia,2021-02-22,0,0
219,Minnesota,2021-02-22,54990,54990
220,Mississippi,2021-02-22,29250,29250
221,Missouri,2021-02-22,60840,60840
222,Montana,2021-02-22,10530,10530
223,Nebraska,2021-02-22,18720,18720
224,Nevada,2021-02-22,29250,29250
225,New Hampshire,2021-02-22,14040,14040
226,New Jersey,2021-02-22,88920,88920
227,New Mexico,2021-02-22,21060,21060
228,New York,2021-02-22,112320,112320
229,New York City,2021-02-22,85410,85410
230,North Carolina,2021-02-22,100620,100620
231,North Dakota,2021-02-22,8190,8190
232,Ohio,2021-02-22,115830,115830
233,Oklahoma,2021-02-22,38610,38610
234,Oregon,2021-02-22,42120,42120
235,Palau,2021-02-22,0,0
236,Pennsylvania,2021-02-22,113490,113490
237,Philadelphia,2021-02-22,16380,16380
238,Puerto Rico,2021-02-22,35100,35100
239,Rhode Island,2021-02-22,11700,11700
240,South Carolina,2021-02-22,49140,49140
241,South Dakota,2021-02-22,9360,9360
242,Tennessee,2021-02-22,65520,65520
243,Texas,2021-02-22,262080,262080
244,U.S. Virgin Islands,2021-02-22,1170,1170
245,Utah,2021-02-22,28080,28080
246,Vermont,2021-02-22,7020,7020
247,Virginia,2021-02-22,84240,84240
248,Washington,2021-02-22,73710,73710
249,West Virginia,2021-02-22,18720,18720
250,Wisconsin,2021-02-22,58500,58500
251,Wyoming,2021-02-22,5850,5850
252,Alabama,2021-02-15,30225,30225
253,Alaska,2021-02-15,0,0
254,American Samoa,2021-02-15,0,0
255,Arizona,2021-02-15,42900,42900
256,Arkansas,2021-02-15,18525,18525
257,California,2021-02-15,241800,241800
258,Chicago,2021-02-15,17550,17550
259,Colorado,2021-02-15,35100,35100
260,Connecticut,2021-02-15,23400,23400
261,Delaware,2021-02-15,6825,6825
262,District of Columbia,2021-02-15,4875,4875
263,Federal Entities,2021-02-15,105300,105300
264,Florida,2021-02-15,132600,132600
265,Georgia,2021-02-15,63375,63375
266,Guam,2021-02-15,0,0
267,Hawaii,2021-02-15,9750,9750
268,Idaho,2021-02-15,10725,10725
269,Illinois,2021-02-15,63375,63375
270,Indiana,2021-02-15,40950,40950
271,Iowa,2021-02-15,19500,19500
272,Kansas,2021-02-15,18525,18525
273,Kentucky,2021-02-15,28275,28275
274,Louisiana,2021-02-15,29250,29250
275,Maine,2021-02-15,8775,8775
276,Mariana Islands,2021-02-15,0,0
277,Marshall Islands,2021-02-15,0,0
278,Maryland,2021-02-15,38025,38025
279,Massachusetts,2021-02-15,43875,43875
280,Michigan,2021-02-15,62400,62400
281,Micronesia,2021-02-15,0,0
282,Minnesota,2021-02-15,34125,34125
283,Mississippi,2021-02-15,18525,18525
284,Missouri,2021-02-15,38025,38025
285,Montana,2021-02-15,6825,6825
286,Nebraska,2021-02-15,11700,11700
287,Nevada,2021-02-15,18525,18525
288,New Hampshire,2021-02-15,8775,8775
289,New Jersey,2021-02-15,55575,55575
290,New Mexico,2021-02-15,13650,13650
291,New York,2021-02-15,71175,71175
292,New York City,2021-02-15,53625,53625
293,North Carolina,2021-02-15,63375,63375
294,North Dakota,2021-02-15,4875,4875
295,Ohio,2021-02-15,73125,73125
296,Oklahoma,2021-02-15,24375,24375
297,Oregon,2021-02-15,26325,26325
298,Palau,2021-02-15,0,0
299,Pennsylvania,2021-02-15,71175,71175
300,Philadelphia,2021-02-15,10725,10725
301,Puerto Rico,2021-02-15,22425,22425
302,Rhode Island,2021-02-15,6825,6825
303,South Carolina,2021-02-15,31200,31200
304,South Dakota,2021-02-15,5850,5850
305,Tennessee,2021-02-15,41925,41925
306,Texas,2021-02-15,165750,165750
307,U.S. Virgin Islands,2021-02-15,975,975
308,Utah,2021-02-15,17550,17550
309,Vermont,2021-02-15,4875,4875
310,Virginia,2021-02-15,52650,52650
311,Washington,2021-02-15,46800,46800
312,West Virginia,2021-02-15,11700,11700
313,Wisconsin,2021-02-15,37050,37050
314,Wyoming,2021-02-15,3900,3900
315,Alabama,2021-02-08,30225,30225
316,Alaska,2021-02-08,0,0
317,American Samoa,2021-02-08,0,0
318,Arizona,2021-02-08,42900,42900
319,Arkansas,2021-02-08,18525,18525
320,California,2021-02-08,241800,241800
321,Chicago,2021-02-08,17550,17550
322,Colorado,2021-02-08,35100,35100
323,Connecticut,2021-02-08,23400,23400
324,Delaware,2021-02-08,6825,6825
325,District of Columbia,2021-02-08,4875,4875
326,Federal Entities,2021-02-08,105300,105300
327,Florida,2021-02-08,132600,132600
328,Georgia,2021-02-08,63375,63375
329,Guam,2021-02-08,0,0
330,Hawaii,2021-02-08,9750,9750
331,Idaho,2021-02-08,10725,10725
332,Illinois,2021-02-08,63375,63375
